"link","url"
"Saint-Barnabé-Sud","https://saintbarnabesud.ca/services-aux-citoyens/subvention-achat-de-couches-lavables/"
"Saint-Basile-le-Grand ","https://www.ville.saint-basile-le-grand.qc.ca/vie-citoyenne/reglementation/programmes-daide-financiere/"
"Saint-Bruno-de-Montarville","https://stbruno.ca/ville/programmes/programme-aide-financiere-achat-produits-hygieniques-lavables-et-reutilisables/"
"Saint-Cyprien-de-Napierville","http://www.st-cypriendenapierville.com/fr/politique-familiale"
"Saint-Damase","https://www.st-damase.qc.ca/programme-couche-lavable/"
"Saint-Édouard","https://www.saintedouard.ca/subvention-pour-lachat-de-couches-lavables"
"Sainte-Madeleine","http://www.villestemadeleine.qc.ca/Couches-lavables.html"
"Sainte-Martine","https://sainte-martine.ca/wp-content/uploads/2021/03/2020-361_couche_produit_sanitaire.pdf"
"Sainte-Marthe","http://www.sainte-marthe.ca/http-www-sainte-marthe-ca-wp-content-uploads-formulaire-camp-de-jour-2020-pdf/attachment/formulaire-subvention-couches-lavables/"
"Saint-Jean-sur-Richelieu","https://sjsr.ca/environnement/programmes-aide-incitatifs/produits-reutilisables/"
"Saint-Lazare","https://ville.saint-lazare.qc.ca/politiquecouches"
"Saint-Rémi","https://www.saint-remi.ca/wp-content/uploads/2021/03/Formulaire-Programme-de-subvention-a-lachat-de-couches-reutilisables-pour-enfants.pdf"
"Saint-Zotique","https://st-zotique.com/environnement/?highlight=couche%20lavable#pacc"
"Salaberry-de-Valleyfield","https://www.ville.valleyfield.qc.ca/couches-lavables"
"Shefford","https://cantonshefford.qc.ca/services/citoyen/programme-pour-lachat-de-couches-reutilisables/"
"Sorel-Tracy","https://www.ville.sorel-tracy.qc.ca/developpement-durable/subventions-environnementales-couches-lavables-produits-d-hygiene-feminine.html#:~:text=Subventions%20environnementales%20(couches%20lavables%2C%20produits%20d'hygi%C3%A8ne%20f%C3%A9minine),%C3%A9coresponsables%20aupr%C3%A8s%20de%20sa%20population.&text=Naissances%20multiples%3A%20225%20%24%20pour%20l,minimum%20de%2036%20couches%20lavables."
"Vaudreuil-Dorion","https://www.ville.vaudreuil-dorion.qc.ca/fr/environnement/protection-de-l-environnement/subventions-environnementales"
"Waterloo","https://ville.waterloo.qc.ca/subventions-et-aides-financieres/couches-lavables/"
"Ahuntsic-Cartierville","https://montreal.ca/demarches/demander-une-subvention-pour-lutilisation-de-couches-lavables-pour-bebes?arrondissement=Ahuntsic-Cartierville"
"Côte-des-Neiges–Notre-Dame-de-Grâce","https://montreal.ca/demarches/demander-une-subvention-pour-lutilisation-de-couches-lavables-pour-bebes?arrondissement=C%C3%B4te-des-Neiges%E2%80%93Notre-Dame-de-Gr%C3%A2ce"
"Lachine","https://montreal.ca/demarches/demander-une-subvention-pour-lutilisation-de-couches-lavables-pour-bebes?arrondissement=Lachine"
"LaSalle","https://montreal.ca/demarches/demander-une-subvention-pour-lutilisation-de-couches-lavables-pour-bebes?arrondissement=LaSalle"
